StartDate,EndDate,Status.x,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,LocationLatitude,LocationLongitude,UserLanguage,Q_RecaptchaScore,consent,partisanship,heardOfRCV,votedRCV,Q9_First Click,Q9_Last Click,Q9_Page Submit,Q9_Click Count,selfreportPlurality,selfreportRCV,comp1_pl,comp1_rcv,comp2_pl,comp2_rcv,comp3_Bwins,what_happens,mandateLib,PrimaryFair,PrimaryFair_DO,PrimaryMandate,PrimaryMandate_DO,feedback,assignmentId,projectId,InfoTreatment,ThirdParty,SecondPartyVS,ThirdPartyVS,Create New Field or Choose From Dropdown...,FL_18_DO,FL_12_DO,FL_15_DO,fairness,mandate,fairness_DO,mandate_DO,StartTime (America/Chicago),CompletionTime (America/Chicago),CompletionType,CompletionCode,Payment,Bonus,Fees,Status.y,QueryString,Age,Education,Sex,Occupation Field,Relationship/Marital Status,Political Party,Ethnicity,Gender,Voter Registration,Country Of Residence,Household Income,Race,Employment Status
2025-04-28T09:42:44Z,2025-04-28T09:44:58Z,IP Address,172.59.193.44,100,133,TRUE,2025-04-28T09:44:58Z,32.7836,-96.8674,EN,1,"Yes, I understand and consent to take part in the survey",I would not vote for either one,No,Not sure,NA,NA,NA,NA,Moderately well,Moderately well,Candidate A,Candidate A,Candidate A,Candidate A,Candidate A,Your vote goes to your next preferred candidate,NA,Candidate A winning (by plurality rules),Candidate B winning (by RCV rules)|Candidate A winning (by plurality rules)|Don't know,Candidate A,Candidate A|Candidate B|Don't know,NA,78bdbb29-3cf3-44da-8a01-0a41f3f5186d,7614aeee-b6cd-4754-8f76-c9f3ec004976,Control,Green,35,18,NA,FL_20|FL_21|FL_19,FL_13,FL_16,The Republican winning (by plurality rules),The Democrat,The Democrat winning (by RCV rules)|The Republican winning (by plurality rules)|Don't know,The Democrat|The Republican|Don't know,04/28/2025 10:42:43 AM,04/28/2025 10:45:01 AM,Redirect,E3CB3C8894,1.25,0,0.32,Approved,NA,30,"Bachelor's degree (for example: BA, AB, BS)",Male,Education & Training,Single,Something else,"Yes, Mexican, Mexican Am., Chicano",Man,Yes,United States,"$70,000-$79,999",Prefer not to say,Full-time
2025-04-28T09:42:48Z,2025-04-28T09:45:13Z,IP Address,156.47.102.138,100,145,TRUE,2025-04-28T09:45:13Z,44.1552,-93.9961,EN,1,"Yes, I understand and consent to take part in the survey",I would vote for the Democrat,Yes,No,0,0,25.629,0,Moderately well,Very well,Candidate A,Candidate A,Candidate A,Candidate A,Not sure/prefer not to answer,Your vote goes to your next preferred candidate,NA,Don't know,Candidate A winning (by plurality rules)|Candidate B winning (by RCV rules)|Don't know,Don't know,Candidate B|Candidate A|Don't know,NA,df2c0f9e-97a4-4490-a8a3-fb3f27f259c4,7614aeee-b6cd-4754-8f76-c9f3ec004976,Video,Green,44,9,NA,FL_20|FL_19|FL_21,FL_13,FL_17,The Democrat winning (by RCV rules),Don't know,The Republican winning (by plurality rules)|The Democrat winning (by RCV rules)|Don't know,The Republican|The Democrat|Don't know,04/28/2025 10:42:46 AM,04/28/2025 10:45:18 AM,Redirect,E3CB3C8894,1.25,0,0.32,Approved,NA,34,"Bachelor's degree (for example: BA, AB, BS)",Female,Finance,In a relationship,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Woman,Yes,United States,"$125,000-$149,999",White,Full-time
2025-04-28T09:42:48Z,2025-04-28T09:45:58Z,IP Address,172.56.65.72,100,190,TRUE,2025-04-28T09:45:59Z,33.7855,-84.3612,EN,1,"Yes, I understand and consent to take part in the survey",I would vote for the Democrat,Yes,No,4,14.134,85.84,5,Very well,Very well,Candidate A,Not enough information,Candidate A,Candidate A,Candidate B,Your vote goes to your next preferred candidate,NA,Candidate B winning (by RCV rules),Candidate A winning (by plurality rules)|Candidate B winning (by RCV rules)|Don't know,Candidate B,Candidate B|Candidate A|Don't know,NA,5c3a9aaf-2251-4e2f-92a4-9055ca56638e,7614aeee-b6cd-4754-8f76-c9f3ec004976,Video,Green,35,18,NA,FL_20|FL_19|FL_21,FL_13,FL_16,The Democrat winning (by RCV rules),The Democrat,The Republican winning (by plurality rules)|The Democrat winning (by RCV rules)|Don't know,The Republican|The Democrat|Don't know,04/28/2025 10:42:46 AM,04/28/2025 10:46:03 AM,Redirect,E3CB3C8894,1.25,0,0.32,Approved,NA,36,"Doctorate degree (for example: PhD, EdD)",Female,Other,Married,Independent,"No, not of Hispanic, Latino, or Spanish origin",Woman,Yes,United States,"$90,000-$99,999",White,"Not in paid work (e.g., homemaker, disabled)"
2025-04-28T09:43:02Z,2025-04-28T09:46:08Z,IP Address,94.103.189.82,100,185,TRUE,2025-04-28T09:46:08Z,39.0469,-77.4903,EN,0.699999988079071,"Yes, I understand and consent to take part in the survey",I would vote for the Democrat,No,No,72.665,72.893,73.76,2,Perfectly well,Perfectly well,Candidate A,Not enough information,Candidate A,Not enough information,Not enough information,Your vote goes to your next preferred candidate,NA,Candidate B winning (by RCV rules),Candidate B winning (by RCV rules)|Candidate A winning (by plurality rules)|Don't know,Candidate B,Candidate A|Candidate B|Don't know,NA,8736af9c-493b-49ad-8935-0f7c04d876fb,7614aeee-b6cd-4754-8f76-c9f3ec004976,Video,Green,44,9,NA,FL_19|FL_20|FL_21,FL_13,FL_17,The Republican winning (by plurality rules),The Republican,The Democrat winning (by RCV rules)|The Republican winning (by plurality rules)|Don't know,The Democrat|The Republican|Don't know,04/28/2025 10:42:41 AM,04/28/2025 10:46:28 AM,Redirect,E3CB3C8894,1.25,0,0.32,Approved,NA,35,"Professional degree (for example: MD, DDS, DVM, LLB, JD)",Male,Information Technology,Married,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Man,Yes,United States,"$100,000-$124,999",Black or African American,Full-time
2025-04-28T09:42:46Z,2025-04-28T09:46:20Z,IP Address,173.240.141.229,100,213,TRUE,2025-04-28T09:46:20Z,36.5438,-86.0245,EN,1,"Yes, I understand and consent to take part in the survey",I would vote for the Republican,Not sure,No,NA,NA,NA,NA,Moderately well,Moderately well,Candidate A,Not enough information,Candidate A,Candidate A,Candidate B,Your vote goes to your next preferred candidate,NA,Candidate A winning (by plurality rules),Candidate B winning (by RCV rules)|Candidate A winning (by plurality rules)|Don't know,Candidate A,Candidate A|Candidate B|Don't know,NA,41534b04-527c-4f87-87ea-b27b93d2a848,7614aeee-b6cd-4754-8f76-c9f3ec004976,Control,Green,44,9,NA,FL_21|FL_20|FL_19,FL_13,FL_17,The Republican winning (by plurality rules),The Republican,The Democrat winning (by RCV rules)|The Republican winning (by plurality rules)|Don't know,The Democrat|The Republican|Don't know,04/28/2025 10:42:44 AM,04/28/2025 10:46:22 AM,Redirect,E3CB3C8894,1.25,0,0.32,Approved,NA,68,"Bachelor's degree (for example: BA, AB, BS)",Female,Retired,Married,Republican,"No, not of Hispanic, Latino, or Spanish origin",Woman,Yes,United States,"$150,000-$174,999",White,Retired
2025-04-28T09:42:46Z,2025-04-28T09:46:44Z,IP Address,75.136.154.88,100,238,TRUE,2025-04-28T09:46:45Z,34.9446,-82.2214,EN,1,"Yes, I understand and consent to take part in the survey",I would not vote for either one,Yes,No,0,0,88.027,0,Perfectly well,Perfectly well,Candidate A,Not enough information,Candidate A,Candidate A,Candidate B,Your vote goes to your next preferred candidate,The Democrat,Candidate A winning (by plurality rules),Candidate A winning (by plurality rules)|Candidate B winning (by RCV rules)|Don't know,Candidate A,Candidate B|Candidate A|Don't know,NA,462e81ed-db4b-4082-b85f-2f805eb729e3,7614aeee-b6cd-4754-8f76-c9f3ec004976,Video,Libertarian,35,18,NA,FL_19|FL_20|FL_21,FL_14,FL_16,The Democrat winning (by plurality rules),The Democrat winning (by plurality rules),The Democrat winning (by plurality rules)|The Republican winning (by RCV rules)|Don't know,The Democrat|The Republican|Don't know,04/28/2025 10:42:45 AM,04/28/2025 10:46:47 AM,Redirect,E3CB3C8894,1.25,0,0.32,Approved,NA,48,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Male,"Agriculture, Food and Natural Resources",Married,Independent,"No, not of Hispanic, Latino, or Spanish origin",Man,Yes,United States,"$80,000-$89,999",White,Business Owner
2025-04-28T09:42:42Z,2025-04-28T09:46:48Z,IP Address,172.92.121.225,100,246,TRUE,2025-04-28T09:46:49Z,48.101,-123.4328,EN,1,"Yes, I understand and consent to take part in the survey",I would vote for the Democrat,Yes,No,NA,NA,NA,NA,Perfectly well,Perfectly well,Candidate A,Not enough information,Candidate A,Candidate A,Candidate B,Your vote goes to your next preferred candidate,The Republican,Candidate B winning (by RCV rules),Candidate A winning (by plurality rules)|Candidate B winning (by RCV rules)|Don't know,Candidate B,Candidate B|Candidate A|Don't know,I am very positive about RCV (or any kind of electoral system that's not simple plurality) so I really enjoyed this survey!,550afafb-0f51-48aa-8419-f40dc083b84d,7614aeee-b6cd-4754-8f76-c9f3ec004976,Infographic,Libertarian,44,9,NA,FL_21|FL_19|FL_20,FL_14,FL_17,The Republican winning (by RCV rules),The Republican winning (by RCV rules),The Democrat winning (by plurality rules)|The Republican winning (by RCV rules)|Don't know,The Democrat|The Republican|Don't know,04/28/2025 10:42:40 AM,04/28/2025 10:46:52 AM,Redirect,E3CB3C8894,1.25,0,0.32,Approved,NA,38,"Bachelor's degree (for example: BA, AB, BS)",Female,Information Technology,Married,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Woman,Yes,United States,"$20,000-$29,999",White,Part-time
2025-04-28T09:42:52Z,2025-04-28T09:46:57Z,IP Address,100.6.88.205,100,245,TRUE,2025-04-28T09:46:58Z,40.3214,-80.0378,EN,1,"Yes, I understand and consent to take part in the survey",I would vote for the Democrat,Yes,No,0,0,92.2,0,Very well,Moderately well,Candidate A,Not enough information,Candidate A,Candidate A,Candidate B,Your vote goes to your next preferred candidate,NA,Candidate B winning (by RCV rules),Candidate A winning (by plurality rules)|Candidate B winning (by RCV rules)|Don't know,Candidate B,Candidate B|Candidate A|Don't know,NA,901efbc7-e8fa-46c3-870e-baafba400c86,7614aeee-b6cd-4754-8f76-c9f3ec004976,Video,Green,35,18,NA,FL_20|FL_19|FL_21,FL_13,FL_16,The Democrat winning (by RCV rules),The Democrat,The Republican winning (by plurality rules)|The Democrat winning (by RCV rules)|Don't know,The Republican|The Democrat|Don't know,04/28/2025 10:42:44 AM,04/28/2025 10:47:04 AM,Redirect,E3CB3C8894,1.25,0,0.32,Approved,NA,32,High school graduate - high school diploma or the equivalent (for example: GED),Female,Hospitality & Tourism,Married,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Woman,Yes,United States,"$40,000-$49,999",White,Full-time
2025-04-28T09:42:44Z,2025-04-28T09:47:20Z,IP Address,50.211.86.213,100,276,TRUE,2025-04-28T09:47:21Z,40.5457,-80.0508,EN,0.8999999761581421,"Yes, I understand and consent to take part in the survey",I would vote for the Democrat,Yes,Not sure,0,0,87.307,0,Very well,Moderately well,Candidate A,Not enough information,Candidate A,Candidate A,Not enough information,Your vote goes to your next preferred candidate,Don't know,Don't know,Candidate B winning (by RCV rules)|Candidate A winning (by plurality rules)|Don't know,Don't know,Candidate A|Candidate B|Don't know,NA,5985b9e6-139a-4f13-b5f7-e0f8da8109c9,7614aeee-b6cd-4754-8f76-c9f3ec004976,Video,Libertarian,44,9,NA,FL_20|FL_19|FL_21,FL_14,FL_17,The Democrat winning (by plurality rules),The Democrat winning (by plurality rules),The Republican winning (by RCV rules)|The Democrat winning (by plurality rules)|Don't know,The Republican|The Democrat|Don't know,04/28/2025 10:42:42 AM,04/28/2025 10:47:24 AM,Redirect,E3CB3C8894,1.25,0,0.32,Approved,NA,49,"Bachelor's degree (for example: BA, AB, BS)",Female,Other,Divorced,Independent,"No, not of Hispanic, Latino, or Spanish origin",Woman,Yes,United States,"Less than $10,000",Prefer not to say,Business Owner
2025-04-28T09:42:47Z,2025-04-28T09:47:25Z,IP Address,24.27.65.172,100,277,TRUE,2025-04-28T09:47:25Z,33.0036,-96.8834,EN,0.800000011920929,"Yes, I understand and consent to take part in the survey",I would vote for the Democrat,No,No,NA,NA,NA,NA,Very well,Slightly well,Candidate A,Not enough information,Candidate A,Not enough information,Candidate B,Your vote goes to your next preferred candidate,NA,Candidate A winning (by plurality rules),Candidate A winning (by plurality rules)|Candidate B winning (by RCV rules)|Don't know,Candidate A,Candidate B|Candidate A|Don't know,NA,14436297-8d6f-41ca-9f23-1fa896414396,7614aeee-b6cd-4754-8f76-c9f3ec004976,Infographic,Green,44,9,NA,FL_21|FL_19|FL_20,FL_13,FL_17,Don't know,Don't know,The Republican winning (by plurality rules)|The Democrat winning (by RCV rules)|Don't know,The Republican|The Democrat|Don't know,04/28/2025 10:42:46 AM,04/28/2025 10:47:27 AM,Redirect,E3CB3C8894,1.25,0,0.32,Approved,NA,35,"Bachelor's degree (for example: BA, AB, BS)",Prefer not to say,Business Management & Administration,Married,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Prefer not to say,Yes,United States,"$60,000-$69,999",Prefer not to say,Full-time
